feature,wilcoxon_stat,p_value,p_corrected,significant,mean_diff,direction
1,5,1.862645149230957e-08,3.4591981342860633e-08,TRUE,-0.044296085,CS > HS
2,1,3.725290298461914e-09,9.685754776000975e-09,TRUE,0.070611724,HS > CS
4,24,1.4193356037139893e-06,2.0501514275868735e-06,TRUE,-0.056472742,CS > HS
5,72,0.000554826,0.000721274,TRUE,-0.057613058,CS > HS
7,13,1.6391277313232422e-07,2.6635825634002686e-07,TRUE,0.061135962,HS > CS
8,0,1.862645149230957e-09,8.071462313334147e-09,TRUE,0.09691948,HS > CS
10,3,9.313225746154785e-09,2.0178655783335366e-08,TRUE,0.086205569,HS > CS
11,0,1.862645149230957e-09,8.071462313334147e-09,TRUE,0.10777016136666666,HS > CS
12,0,1.862645149230957e-09,8.071462313334147e-09,TRUE,0.099328897,HS > CS
13,1,3.725290298461914e-09,9.685754776000975e-09,TRUE,0.095079541,HS > CS
